#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=36
0 4 2 0.952638 0.190149 1.21161 0.167018 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 2 0.125887 0.437958 1.19034 0.620567 -1 -1
4 3 2 0.819559 4.24481 1.38002 4.23581 -1 -1
5 4 2 0.747471 2.83206 1.32875 2.98075 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 3 0.477449 1.48728 0.668974 1.5383 -1 -1
10 4 1 1.13968 2.99611 1.13968 2.99611 -1 -1
11 3 2 0.185043 3.5392 1.04087 3.62382 -1 -1
12 3 2 0.302755 1.52648 1.27281 1.1961 -1 -1
13 4 1 1.31688 3.06802 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 1 1.5 1.60187 1.5 1.6005 -1 -1
16 4 3 0.274064 4.29645 0.427196 4.32849 -1 -1
17 4 2 0.593489 3.46617 1.11418 3.32307 -1 -1
18 4 2 0.636659 1.24869 1.44276 1.39902 -1 -1
19 3 5 0.152531 0.251343 0.87799 0 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 3 0.379889 1.3267 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 0.410851 0.675232 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 2 0.740222 3.57912 1.23739 3.42673 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 3 0.0399986 1.76444 1.40979 1.75301 -1 -1
31 4 1 1.26269 0.225257 1.26269 0.225257 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 2 0.10554 1.27351 1.42045 1.38935 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 2 1.00055 3.03893 1.09795 3.0616 -1 -1
36 4 2 0.652377 4.67518 0.732326 4.67233 -1 -1
37 4 4 0.74485 2.01865 1.29425 1.83273 -1 -1
38 4 1 1.1915 1.49667 1.1915 1.49667 -1 -1
39 3 2 0.797172 0.17498 1.29664 0.198039 -1 -1
40 4 2 0.0452254 3.22286 1.2804 2.88708 -1 -1
41 4 2 0.632351 2.68653 1.34994 2.62766 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
43 4 1 0.319141 3.67707 0.319141 3.67707 -1 -1
44 4 4 0.292267 2.35152 1.499 2.06194 -1 -1
45 3 2 0.0755496 0.529431 0.509216 0.455043 -1 -1
46 3 4 0.102349 2.14692 1.47534 2.4206 -1 -1
47 4 3 0.982634 3.89047 1.44859 3.80248 -1 -1
48 4 1 0.379525 2.36913 0.379525 2.37135 -1 -1
49 4 2 0.501659 3.65042 0.546705 3.66271 -1 -1
50 3 3 0.143265 4.05574 0.557804 3.97477 -1 -1
51 4 2 0.0251332 1.81318 1.06398 1.76412 -1 -1
52 4 2 0.764246 3.98958 1.2034 3.96224 -1 -1
53 4 1 0.53669 2.90085 0.53669 2.90284 -1 -1
54 4 3 0.729425 1.24508 1.16541 1.39175 -1 -1
55 4 3 0.217711 0.20287 1.20127 0.345876 -1 -1
56 4 3 0.455715 1.84438 0.918337 1.78079 -1 -1
57 3 1 0.969494 1.62164 0.969494 1.62101 -1 -1
58 3 3 0.683196 0.282061 0.914348 0.217494 -1 -1
59 4 2 0.0394395 4.52695 0.344989 4.47525 -1 -1
60 4 3 0.540423 0.978196 1.39982 1.24548 -1 -1
61 4 1 0.884243 0.465848 0.884243 0.466724 -1 -1
62 4 4 0.0937092 3.84691 0.211605 3.86928 -1 -1
63 4 4 0.486881 1.32723 1.17483 1.1979 -1 -1
64 4 2 0.45837 1.26702 0.914429 1.22852 -1 -1
65 4 1 0.539431 3.89458 0.539431 3.89642 -1 -1
66 4 2 0.223104 2.77583 0.914815 2.66842 -1 -1
67 4 2 0.20925 3.55545 1.36083 3.9293 -1 -1
68 3 3 0.059625 1.81381 0.627619 1.73858 -1 -1
69 4 2 0.38346 2.48103 0.500208 2.45329 -1 -1
70 4 2 0.231631 4.98167 0.271628 4.98118 -1 -1
71 4 2 0.7028 2.65603 1.46838 2.48562 -1 -1
72 3 2 0.0180902 4.20239 1.0456 4.0417 -1 -1
73 4 4 1.22674 3.25719 1.36657 3.2503 -1 -1
74 4 3 0.319418 3.87784 0.857351 3.84536 -1 -1
75 3 3 0.054283 3.94419 1.32567 3.61729 -1 -1
76 4 1 1.18835 4.63801 1.18835 4.63801 -1 -1
77 4 2 0.332926 1.66775 1.25205 1.3906 -1 -1
78 4 6 0 4.51324 1.32206 4.69718 -1 -1
79 4 1 1.30474 2.6515 1.30474 2.6515 -1 -1
80 4 2 0.0103572 4.87581 1.29847 4.58742 -1 -1
81 4 4 0.526587 1.01177 0.744731 0.983247 -1 -1
82 3 4 1.13413 2.36659 1.36977 2.32106 -1 -1
83 3 3 0.0107593 4.46548 1.13801 4.10555 -1 -1
84 4 1 0.601991 3.87165 0.601991 3.87165 -1 -1
85 4 4 0.30966 3.60146 1.06078 3.48564 -1 -1
86 4 4 0.21272 1.81518 1.29024 2.09947 -1 -1
87 4 2 0.767055 3.93599 1.08289 3.88454 -1 -1
88 4 3 0.759946 3.54231 1.13118 3.5379 -1 -1
89 4 2 0.507728 1.97915 1.19774 2.18478 -1 -1
90 3 2 0.581326 1.20898 0.695716 1.24524 -1 -1
91 4 2 0.921912 0.428668 1.24022 0.395827 -1 -1
92 4 2 0.487722 4.76192 1.14875 4.60242 -1 -1
93 4 1 1.30444 3.18317 1.30444 3.18357 -1 -1
94 4 4 0.512001 1.82336 1.499 2.15421 -1 -1
95 4 3 1.27899 4.36154 1.33462 4.35933 -1 -1
96 4 1 0.522626 2.14335 0.522626 2.14335 -1 -1
97 4 6 0 2.19351 0.995119 2.22593 -1 -1
98 4 2 0.239411 2.53884 1.49273 2.62682 -1 -1
99 4 4 0.679757 4.31803 1.34118 4.30033 -1 -1
100 4 2 0.472703 2.82691 1.29045 2.76621 -1 -1
101 4 3 1.40113 2.03337 1.45825 2.05173 -1 -1
102 3 2 0.0197953 2.68151 1.00683 2.84636 -1 -1
103 4 4 0.0498742 4.44378 0.421077 4.36249 -1 -1
104 4 1 1.45595 3.11525 1.45595 3.11525 -1 -1
105 4 1 0.332077 0.854773 0.332077 0.854454 -1 -1
106 4 3 0.485639 2.73048 0.552755 2.71404 -1 -1
107 4 2 0.303775 0.32953 0.543061 0.348024 -1 -1
108 4 2 0.443503 4.42528 0.53017 4.40142 -1 -1
109 4 3 0.413801 3.91732 0.555539 3.94195 -1 -1
110 4 2 0.188859 1.48028 0.742939 1.65173 -1 -1
111 4 4 0.0633853 2.08196 1.29426 2.35131 -1 -1
112 3 4 0.560804 0.959859 0.617645 0.979071 -1 -1
113 4 2 0.0869632 4.51705 0.787647 4.6827 -1 -1
114 4 2 0.693645 1.62665 1.41363 1.63104 -1 -1
115 4 3 0.139999 1.66363 1.28796 1.6591 -1 -1
116 4 4 0.305182 2.6554 0.500862 2.61406 -1 -1
117 4 2 0.233646 4.83821 1.39275 4.8838 -1 -1
118 3 2 0.986837 1.46659 1.10649 1.45748 -1 -1
119 4 3 0.76099 2.12882 0.880041 2.11376 -1 -1
120 4 4 0.70382 0.0101742 1.32211 0.0561642 -1 -1
121 3 1 0.479641 3.69161 0.479641 3.69161 -1 -1
122 4 2 0.261224 2.09235 0.498438 2.12881 -1 -1
123 4 4 0.85632 2.13633 1.48219 2.00259 -1 -1
124 4 3 0.0992663 0.881334 1.38478 1.03792 -1 -1
125 4 2 0.21293 1.79093 1.1404 1.54994 -1 -1
126 4 1 1.14757 3.81661 1.14757 3.81661 -1 -1
127 3 4 0.162523 2.91149 0.426853 2.81675 -1 -1
128 4 4 1.35103 2.84572 1.44821 2.82214 -1 -1
129 4 2 0.368257 0.448664 0.587341 0.468718 -1 -1
130 3 3 0.812719 4.23079 1.04814 4.31516 -1 -1
131 4 2 1.15313 1.18811 1.40751 1.13431 -1 -1
132 3 2 0.77385 1.52873 0.95811 1.57676 -1 -1
133 4 2 0.14 3.28467 0.537819 3.28541 -1 -1
134 4 2 0.0197458 1.5365 0.799594 1.41098 -1 -1
135 3 1 0.796276 3.42093 0.796276 3.42093 -1 -1
136 4 4 0.39436 2.1612 1.32176 2.0078 -1 -1
137 4 4 0.193978 3.8903 0.93384 3.90461 -1 -1
138 4 4 0.517579 4.93065 1.24181 4.70026 -1 -1
139 3 1 0.189453 3.05994 0.189453 3.05994 -1 -1
140 3 4 0.916016 0.518792 1.49286 0.57919 -1 -1
141 4 1 0.978436 2.05817 0.978436 2.05823 -1 -1
142 3 1 0.768442 4.24903 0.768442 4.24903 -1 -1
143 4 1 0.881353 3.3685 0.881353 3.3685 -1 -1
144 3 1 0.953323 2.81654 0.953323 2.81736 -1 -1
145 3 1 0.583034 4.26977 0.583034 4.27377 -1 -1
146 3 1 0.76388 4.83984 0.76388 4.83984 -1 -1
147 3 1 0.132756 1.93741 0.132756 1.93568 -1 -1
148 4 3 0.117286 2.36669 1.23464 2.60845 -1 -1
149 3 4 0.14318 0.344793 1.42244 0.668413 -1 -1
150 4 2 0.592959 2.16651 1.3483 2.25054 -1 -1
151 4 2 0.998133 3.78041 1.09703 3.76557 -1 -1
152 4 1 1.11972 4.26819 1.11972 4.26819 -1 -1
153 4 2 0.0397424 2.95354 0.375159 2.91528 -1 -1
154 4 1 0.725468 2.50384 0.725468 2.50801 -1 -1
155 4 1 0.821903 1.14402 0.821903 1.14466 -1 -1
156 4 2 0.653373 1.64746 0.73262 1.65842 -1 -1
157 3 3 0.490363 1.44036 0.921737 1.4069 -1 -1
158 4 3 0.355906 1.91056 0.545567 1.84708 -1 -1
159 4 1 0.233999 4.49059 0.233999 4.491 -1 -1
160 4 2 0.134811 1.98481 1.19617 1.62715 -1 -1
161 3 1 1.0209 4.52832 1.0209 4.53064 -1 -1
162 3 4 0.155739 3.27139 1.4803 3.06857 -1 -1
163 3 3 0.61551 3.74007 0.95472 3.7169 -1 -1
164 4 1 0.0768323 1.03587 0.0768323 1.03612 -1 -1
165 4 3 0.959955 3.64504 1.44531 3.64032 -1 -1
166 3 4 0.587745 4.53303 1.18715 4.55981 -1 -1
167 4 1 0.300188 0.336365 0.300188 0.339074 -1 -1
168 3 3 0.376358 2.99067 0.82136 3.01886 -1 -1
169 4 1 0.196339 3.90793 0.196339 3.90819 -1 -1
170 4 3 0.945954 2.18374 1.24107 2.12981 -1 -1
171 4 4 0.525752 2.82868 0.68541 2.81822 -1 -1
172 4 2 0.710139 0.632229 0.901897 0.575406 -1 -1
173 4 1 1.10639 4.81819 1.10639 4.81819 -1 -1
174 3 2 0.369188 4.00369 0.488323 3.98931 -1 -1
175 4 1 1.32299 0.0289113 1.32299 0.0283359 -1 -1
176 3 4 0.142861 1.26323 1.07298 1.49429 -1 -1
177 4 4 0.536104 3.46136 1.09302 3.40272 -1 -1
178 3 1 0.923215 0.791831 0.923215 0.791831 -1 -1
179 4 2 0.218635 0.561908 0.515495 0.605204 -1 -1
180 4 1 1.42984 1.86508 1.42984 1.86508 -1 -1
181 4 2 0.590258 0.41626 0.723562 0.373483 -1 -1
182 4 3 0.351713 1.17665 1.33252 1.39082 -1 -1
183 4 4 0.822869 4.41765 1.3611 4.46136 -1 -1
184 4 3 0.640825 1.57793 0.926024 1.67916 -1 -1
185 3 2 1.16536 3.01887 1.3115 2.96704 -1 -1
186 3 3 0.200666 3.15162 1.18077 3.08356 -1 -1
187 4 6 0 4.77046 0.854832 4.58816 -1 -1
188 4 3 0.0594861 3.44224 1.09966 3.30522 -1 -1
189 4 4 0.178251 3.78199 0.516626 3.81519 -1 -1
190 4 3 0.119085 4.93956 1.46315 4.77263 -1 -1
191 4 5 0.00912171 5 1.28234 4.75145 -1 -1
192 3 2 0.0673432 0.435124 1.35474 0.87354 -1 -1
193 4 1 0.453476 1.9056 0.453476 1.906 -1 -1
194 3 3 1.07314 1.9166 1.31107 1.94809 -1 -1
195 4 4 0.367501 2.04118 0.426054 2.02808 -1 -1
196 4 4 0.139849 4.08959 0.964847 4.05122 -1 -1
197 3 2 1.10774 0.972294 1.20358 0.943734 -1 -1
198 4 3 1.33473 3.51989 1.4312 3.54622 -1 -1
199 3 3 0.49061 3.62282 0.650547 3.61834 -1 -1
200 4 4 0.238049 3.1516 1.47827 2.99247 -1 -1
201 3 3 0.023006 3.15864 1.14064 3.23136 -1 -1
202 4 2 0.247734 4.86555 0.898334 4.97655 -1 -1
203 4 1 0.940181 1.14325 0.940181 1.14425 -1 -1
204 3 2 0.471865 3.82671 1.09134 3.67979 -1 -1
205 4 3 0.873547 3.823 1.499 3.74684 -1 -1
206 4 2 0.0786054 2.47902 1.30654 2.24669 -1 -1
207 4 3 0.929509 1.02807 1.35908 1.1233 -1 -1
208 4 1 0.600113 3.18733 0.600113 3.18733 -1 -1
209 4 1 0.710133 3.15324 0.710133 3.15264 -1 -1
210 3 2 0.0140847 4.55455 0.0740796 4.55534 -1 -1
211 4 3 0.879849 0.171091 1.32097 0.16293 -1 -1
212 4 4 0.0592183 1.16418 1.21601 0.975598 -1 -1
213 3 3 0.0222882 2.84917 1.12253 2.97675 -1 -1
214 4 3 0.342946 2.48158 1.28845 2.64778 -1 -1
215 3 3 0.641759 1.50493 0.930126 1.40994 -1 -1
216 3 4 0.282014 2.21004 0.441886 2.20366 -1 -1
217 4 3 0.244554 2.92592 0.500534 2.88038 -1 -1
218 3 4 0.97599 3.56327 1.32593 3.47878 -1 -1
219 3 4 0.443957 1.21093 0.576289 1.25663 -1 -1
220 4 4 0.154557 1.48299 0.426037 1.55567 -1 -1
221 4 2 0.454221 1.74449 0.630943 1.71029 -1 -1
222 3 4 0.769051 1.42726 1.37315 1.5668 -1 -1
223 4 2 0.554822 2.28196 1.30317 2.50995 -1 -1
224 4 2 0.614001 3.256 1.05392 3.24738 -1 -1
225 4 2 0.175209 3.965 0.88702 4.1326 -1 -1
