#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=44
0 4 2 0.4347 0.23641 1.21161 0.167018 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 3 0.216832 0.45356 1.19034 0.620567 -1 -1
4 3 3 0.819559 4.24481 1.20004 4.2387 -1 -1
5 4 3 0.824975 2.85188 1.32875 2.98075 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 1 0.477449 1.48728 0.477449 1.48682 -1 -1
10 4 2 0.878033 3.51348 1.2464 3.42016 -1 -1
11 3 2 0.185043 3.5392 1.2797 3.64744 -1 -1
12 3 3 0.302755 1.52648 1.42427 1.14452 -1 -1
13 4 1 1.31688 3.06802 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 1 0.766753 1.39629 0.766753 1.39629 -1 -1
16 4 2 0.504161 4.56108 0.561168 4.57979 -1 -1
17 4 4 0.439209 3.50857 1.11418 3.32307 -1 -1
18 4 2 0.2631 1.17902 1.44276 1.39902 -1 -1
19 3 5 0.152531 0.251343 0.87799 0 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 1 0.549047 1.33105 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 0.137046 0.616656 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 2 0.740222 3.57912 1.48597 3.35053 -1 -1
29 4 2 0.894065 0.325265 1.499 0.395085 -1 -1
30 4 3 0.379987 1.76161 1.40979 1.75301 -1 -1
31 4 1 1.48401 2.7126 1.48401 2.7126 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 3 0.10554 1.27351 1.22122 1.3718 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 2 0.724836 1.18693 0.882977 1.16261 -1 -1
36 4 2 0.312593 4.6873 0.732326 4.67233 -1 -1
37 4 4 0.74485 2.01865 1.29425 1.83273 -1 -1
38 4 1 1.1915 1.49667 1.1915 1.49667 -1 -1
39 3 3 0.797172 0.17498 1.36015 0.200971 -1 -1
40 4 4 0.0452254 3.22286 1.2804 2.88708 -1 -1
41 4 3 0.811748 2.67181 1.34994 2.62766 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
43 4 1 0.319141 3.67707 0.319141 3.67707 -1 -1
44 4 4 0.292267 2.35152 1.499 2.06194 -1 -1
45 3 2 0.0755496 0.529431 0.785185 0.407705 -1 -1
46 3 4 0.102349 2.14692 1.47534 2.4206 -1 -1
47 4 1 1.44859 3.8014 1.44859 3.80248 -1 -1
48 4 1 0.379525 2.36913 0.379525 2.37135 -1 -1
49 4 2 0.21224 3.57144 0.546705 3.66271 -1 -1
50 3 1 0.143265 4.05574 0.143265 4.05912 -1 -1
51 4 2 0 1.81437 1.06398 1.76412 -1 -1
52 4 4 0.744284 3.99082 1.2034 3.96224 -1 -1
53 4 1 0.53669 2.90085 0.53669 2.90284 -1 -1
54 4 2 0.594547 2.97332 0.670226 2.94738 -1 -1
