#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=24
0 4 1 0.567017 3.88273 0.567017 3.88376 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 2 0.6384 0.525881 1.19034 0.620567 -1 -1
4 3 3 0.819559 4.24481 1.24003 4.23806 -1 -1
5 4 2 1.19312 2.94606 1.32875 2.98075 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 3 0.477449 1.48728 1.44202 1.7442 -1 -1
10 4 3 0.761131 2.86688 1.13968 2.99611 -1 -1
11 3 4 0.185043 3.5392 1.00106 3.61988 -1 -1
12 3 3 0.302755 1.52648 1.31068 1.18321 -1 -1
13 4 3 0.639251 2.89388 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 3 1.11435 1.51749 1.499 1.6005 -1 -1
16 4 3 0.0783041 4.25549 0.427196 4.32849 -1 -1
17 4 1 0.982652 1.99073 0.982652 1.99073 -1 -1
18 4 2 0.990558 1.31469 1.44276 1.39902 -1 -1
19 3 5 0.152531 0.251343 0.87799 0 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 2 0.249135 1.32354 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 0.273948 0.645944 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 3 0.740222 3.57912 0.969684 3.50879 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 2 0.0999965 1.76394 1.40979 1.75301 -1 -1
31 4 1 1.26269 0.225257 1.26269 0.225257 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 2 0.10554 1.27351 1.06184 1.35776 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 3 1.0564 0.484141 1.2091 0.53792 -1 -1
36 4 3 0.31991 0.340313 0.515439 0.335669 -1 -1
37 4 4 0.74485 2.01865 1.29425 1.83273 -1 -1
38 4 3 1.11153 1.49469 1.1915 1.49667 -1 -1
39 3 1 0.0861033 2.1108 0.0861033 2.1108 -1 -1
40 4 2 0.508415 3.09694 1.2804 2.88708 -1 -1
41 4 2 1.15061 2.64402 1.34994 2.62766 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
43 4 4 0.280312 3.68668 0.319141 3.67707 -1 -1
44 4 4 0.292267 2.35152 1.499 2.06194 -1 -1
45 3 3 0.510076 2.46222 0.52936 2.45692 -1 -1
46 3 2 0.102349 2.14692 1.33804 2.39323 -1 -1
47 4 3 0.157221 4.04633 1.44859 3.80248 -1 -1
48 4 2 0 2.46365 0.379525 2.37135 -1 -1
49 4 2 0.122225 3.54688 0.546705 3.66271 -1 -1
50 3 3 0.143265 4.05574 1.20556 3.84825 -1 -1
51 4 2 0.424688 1.79431 1.06398 1.76412 -1 -1
52 4 2 1.16347 3.96472 1.2034 3.96224 -1 -1
53 4 1 0.53669 2.90085 0.53669 2.90284 -1 -1
54 4 2 0.767337 1.25783 1.16541 1.39175 -1 -1
55 4 2 0.370007 0.225014 1.20127 0.345876 -1 -1
56 4 2 0.12579 1.88974 0.918337 1.78079 -1 -1
57 3 3 0.969494 1.62164 1.24229 1.65813 -1 -1
58 3 2 0.683196 0.282061 1.39591 0.0829794 -1 -1
59 4 3 0.0197197 4.53028 0.344989 4.47525 -1 -1
60 4 2 0.368544 0.924739 1.39982 1.24548 -1 -1
61 4 3 0.494501 0.525009 0.884243 0.466724 -1 -1
62 4 4 0.0937092 3.84691 0.211605 3.86928 -1 -1
63 4 4 0.486881 1.32723 1.17483 1.1979 -1 -1
64 4 2 0.0375471 1.30254 0.914429 1.22852 -1 -1
65 4 1 0.539431 3.89458 0.539431 3.89642 -1 -1
66 4 2 0.657894 2.70832 0.914815 2.66842 -1 -1
67 4 3 0.20925 3.55545 1.36083 3.9293 -1 -1
68 3 3 0.059625 1.81381 1.14312 1.6703 -1 -1
69 4 1 1.45591 0.327609 1.45591 0.327609 -1 -1
70 4 1 0.511163 4.26604 0.511163 4.26911 -1 -1
71 4 2 1.15181 2.55608 1.46838 2.48562 -1 -1
72 3 2 0.0180902 4.20239 0.591125 4.11278 -1 -1
73 4 2 1.26669 3.25522 1.36657 3.2503 -1 -1
74 4 2 0.179673 3.88628 0.857351 3.84536 -1 -1
75 3 2 0.054283 3.94419 1.23585 3.64038 -1 -1
76 4 3 0.968379 4.63457 1.18835 4.63801 -1 -1
77 4 2 0.658449 1.5696 1.25205 1.3906 -1 -1
78 4 2 0.153321 4.53457 1.32206 4.69718 -1 -1
79 4 2 1.14561 2.63492 1.30474 2.6515 -1 -1
80 4 2 0.381177 4.79279 1.29847 4.58742 -1 -1
81 4 4 0.526587 1.01177 0.744731 0.983247 -1 -1
82 3 4 1.13413 2.36659 1.36977 2.32106 -1 -1
83 3 2 0.0107593 4.46548 1.44284 4.00821 -1 -1
84 4 1 0.601991 3.87165 0.601991 3.87165 -1 -1
85 4 2 0.408492 3.58622 1.06078 3.48564 -1 -1
86 4 4 0.21272 1.81518 1.29024 2.09947 -1 -1
87 4 1 0.813113 2.69243 0.813113 2.69243 -1 -1
88 4 3 0.599958 3.5442 1.13118 3.5379 -1 -1
89 4 2 0.967735 2.11624 1.19774 2.18478 -1 -1
90 3 3 0.973857 2.30656 1.13139 2.33453 -1 -1
91 4 1 0.102927 3.49146 0.102927 3.49308 -1 -1
92 4 1 0.509108 4.72582 0.509108 4.72582 -1 -1
93 4 3 0.619777 3.20195 1.30444 3.18357 -1 -1
94 4 4 0.512001 1.82336 1.499 2.15421 -1 -1
95 4 3 0.459637 4.39411 1.33462 4.35933 -1 -1
96 4 3 0.371599 2.09052 0.522626 2.14335 -1 -1
97 4 2 0.375448 2.20574 0.995119 2.22593 -1 -1
98 4 6 0 2.52204 1.49273 2.62682 -1 -1
99 4 4 0.679757 4.31803 1.34118 4.30033 -1 -1
100 4 2 0.811771 2.80174 1.29045 2.76621 -1 -1
101 4 2 1.22975 1.97832 1.45825 2.05173 -1 -1
102 3 2 0.0197953 2.68151 0.553116 2.77058 -1 -1
103 4 4 0.0498742 4.44378 0.421077 4.36249 -1 -1
104 4 3 1.28055 3.15565 1.45595 3.11525 -1 -1
105 4 2 0.0723038 0.843589 0.332077 0.854454 -1 -1
106 4 2 0.0777023 2.83042 0.552755 2.71404 -1 -1
107 4 3 1.26701 2.84243 1.45576 2.90856 -1 -1
108 4 6 0 4.54737 0.53017 4.40142 -1 -1
109 4 2 0.0629187 3.85636 0.555539 3.94195 -1 -1
110 4 2 0.704726 1.6399 0.742939 1.65173 -1 -1
111 4 4 0.0633853 2.08196 1.29426 2.35131 -1 -1
112 3 4 0.560804 0.959859 0.617645 0.979071 -1 -1
113 4 2 0.534623 4.62288 0.787647 4.6827 -1 -1
114 4 2 1.21364 1.62982 1.41363 1.63104 -1 -1
115 4 2 0.407971 1.66257 1.28796 1.6591 -1 -1
