#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=20
0 4 1 0.567017 3.88273 0.567017 3.88376 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 2 0.815808 0.556315 1.19034 0.620567 -1 -1
4 3 2 0.819559 4.24481 1.49947 4.23389 -1 -1
5 4 1 1.04921 3.48682 1.04921 3.48682 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 2 0.477449 1.48728 1.44376 1.74467 -1 -1
10 4 2 0.666493 2.83457 1.13968 2.99611 -1 -1
11 3 4 0.185043 3.5392 1.00106 3.61988 -1 -1
12 3 7 0.302755 1.52648 1.5 1.11873 -1 -1
13 4 3 0.503652 2.85905 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 3 0.781999 1.44577 1.499 1.6005 -1 -1
16 4 2 0.0356761 4.24657 0.427196 4.32849 -1 -1
17 4 3 0.842899 1.99903 0.982652 1.99073 -1 -1
18 4 2 1.26581 1.36602 1.44276 1.39902 -1 -1
19 3 2 0.152531 0.251343 0.851754 0.0090899 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 2 0.389094 1.32692 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 0.410851 0.675232 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 3 0.740222 3.57912 1.23739 3.42673 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 2 0.179994 1.76328 1.40979 1.75301 -1 -1
31 4 1 1.26269 0.225257 1.26269 0.225257 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 2 0.10554 1.27351 0.962222 1.34898 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 3 0.830027 0.404416 1.2091 0.53792 -1 -1
36 4 3 0.0599831 0.346487 0.515439 0.335669 -1 -1
37 4 4 0.74485 2.01865 1.29425 1.83273 -1 -1
38 4 2 0.85161 1.48824 1.1915 1.49667 -1 -1
39 3 3 1.23577 4.36473 1.25561 4.36216 -1 -1
40 4 2 0.797909 3.01824 1.2804 2.88708 -1 -1
41 4 2 1.29014 2.63257 1.34994 2.62766 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
43 4 4 0.280312 3.68668 0.319141 3.67707 -1 -1
44 4 4 0.292267 2.35152 1.499 2.06194 -1 -1
45 3 2 0.510076 2.46222 0.683628 2.41448 -1 -1
46 3 4 0.102349 2.14692 1.2792 2.3815 -1 -1
47 4 2 0.0335944 4.06968 1.44859 3.80248 -1 -1
48 4 2 0.194335 2.41639 0.379525 2.37135 -1 -1
49 4 2 0.295876 3.59426 0.546705 3.66271 -1 -1
50 3 3 0.143265 4.05574 1.44111 3.80224 -1 -1
51 4 2 0.624465 1.78487 1.06398 1.76412 -1 -1
52 4 2 0.00120949 2.82486 0.0998197 2.80825 -1 -1
53 4 1 0.53669 2.90085 0.53669 2.90284 -1 -1
54 4 2 0.937941 1.31523 1.16541 1.39175 -1 -1
55 4 2 0.587718 0.256668 1.20127 0.345876 -1 -1
56 4 2 0.442808 1.84616 0.918337 1.78079 -1 -1
57 3 3 0.969494 1.62164 1.46035 1.68729 -1 -1
58 3 2 0.683196 0.282061 1.33813 0.0991212 -1 -1
59 4 2 0.128072 4.51195 0.344989 4.47525 -1 -1
60 4 2 0.502228 0.966317 1.39982 1.24548 -1 -1
61 4 2 0.494501 0.525009 0.884243 0.466724 -1 -1
62 4 4 0.0937092 3.84691 0.211605 3.86928 -1 -1
63 4 4 0.486881 1.32723 1.17483 1.1979 -1 -1
64 4 2 0.157122 1.29244 0.914429 1.22852 -1 -1
65 4 1 0.539431 3.89458 0.539431 3.89642 -1 -1
66 4 2 0.855525 2.67763 0.914815 2.66842 -1 -1
67 4 3 0.0380454 3.49987 1.36083 3.9293 -1 -1
68 3 3 0.059625 1.81381 1.32156 1.64667 -1 -1
69 4 1 1.45591 0.327609 1.45591 0.327609 -1 -1
70 4 3 0.445658 4.28586 0.511163 4.26911 -1 -1
71 4 3 1.19086 2.54739 1.46838 2.48562 -1 -1
72 3 2 0.0180902 4.20239 0.452806 4.13441 -1 -1
73 4 3 0.841745 3.3355 0.889753 3.34555 -1 -1
74 4 2 0.339382 3.87664 0.857351 3.84536 -1 -1
75 3 2 0.054283 3.94419 0.98404 3.70513 -1 -1
76 4 3 0.828396 4.63238 1.18835 4.63801 -1 -1
77 4 2 0.754191 1.54073 1.25205 1.3906 -1 -1
78 4 2 0.410841 4.5704 1.32206 4.69718 -1 -1
79 4 2 1.24507 2.64528 1.30474 2.6515 -1 -1
80 4 2 0.654413 4.73161 1.29847 4.58742 -1 -1
81 4 4 0.526587 1.01177 0.744731 0.983247 -1 -1
82 3 4 1.13413 2.36659 1.36977 2.32106 -1 -1
83 3 2 0.0107593 4.46548 1.34758 4.03863 -1 -1
84 4 1 0.601991 3.87165 0.601991 3.87165 -1 -1
85 4 2 0.606156 3.55574 1.06078 3.48564 -1 -1
86 4 4 0.21272 1.81518 1.29024 2.09947 -1 -1
87 4 1 0.813113 2.69243 0.813113 2.69243 -1 -1
88 4 3 0.399972 3.54658 1.13118 3.5379 -1 -1
89 4 2 1.12107 2.16194 1.19774 2.18478 -1 -1
90 3 2 0.973857 2.30656 1.15109 2.33803 -1 -1
91 4 2 0.0034067 3.50286 0.102927 3.49308 -1 -1
92 4 1 0.509108 4.72582 0.509108 4.72582 -1 -1
93 4 3 0.35987 3.20892 1.30444 3.18357 -1 -1
94 4 4 0.512001 1.82336 1.499 2.15421 -1 -1
95 4 3 0.299763 4.40046 1.33462 4.35933 -1 -1
96 4 3 0.0506675 1.97826 0.522626 2.14335 -1 -1
97 4 2 0.575342 2.21225 0.995119 2.22593 -1 -1
98 4 6 0 2.52204 1.49273 2.62682 -1 -1
99 4 4 0.679757 4.31803 1.34118 4.30033 -1 -1
100 4 2 0.991277 2.78841 1.29045 2.76621 -1 -1
101 4 2 1.38208 2.02726 1.45825 2.05173 -1 -1
102 3 2 0.0197953 2.68151 0.375576 2.74093 -1 -1
103 4 4 0.0498742 4.44378 0.421077 4.36249 -1 -1
104 4 2 1.35851 3.1377 1.45595 3.11525 -1 -1
105 4 2 0.272129 0.851947 0.332077 0.854454 -1 -1
106 4 3 0.135979 2.81614 0.552755 2.71404 -1 -1
107 4 2 1.36138 2.8755 1.45576 2.90856 -1 -1
108 4 2 0.260212 4.47574 0.53017 4.40142 -1 -1
109 4 2 0.299376 3.89744 0.555539 3.94195 -1 -1
110 4 1 0.616002 0.0948512 0.616002 0.0992942 -1 -1
111 4 4 0.0633853 2.08196 1.29426 2.35131 -1 -1
112 3 4 0.560804 0.959859 0.617645 0.979071 -1 -1
113 4 2 0.69033 4.6597 0.787647 4.6827 -1 -1
114 4 2 1.35363 1.63067 1.41363 1.63104 -1 -1
