#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=28
0 4 1 0.567017 3.88273 0.567017 3.88376 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 2 0.460991 0.495446 1.19034 0.620567 -1 -1
4 3 2 0.819559 4.24481 1.18004 4.23902 -1 -1
5 4 4 1.07686 2.91632 1.32875 2.98075 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 3 0.477449 1.48728 1.17145 1.67214 -1 -1
10 4 3 1.0829 2.97673 1.13968 2.99611 -1 -1
11 3 4 0.185043 3.5392 1.00106 3.61988 -1 -1
12 3 3 0.302755 1.52648 1.10243 1.25413 -1 -1
13 4 3 0.891077 2.95856 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 3 1.4467 1.58921 1.499 1.6005 -1 -1
16 4 2 0.156608 4.27187 0.427196 4.32849 -1 -1
17 4 2 0.940618 3.37077 1.11418 3.32307 -1 -1
18 4 2 0.872592 1.29269 1.44276 1.39902 -1 -1
19 3 5 0.152531 0.251343 0.87799 0 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 2 0.0291989 1.31823 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 3 0.528195 0.700336 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 2 0.740222 3.57912 0.950562 3.51465 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 3 0.139995 1.76361 1.40979 1.75301 -1 -1
31 4 1 1.26269 0.225257 1.26269 0.225257 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 2 0.10554 1.27351 1.1216 1.36302 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 2 1.07526 0.490785 1.2091 0.53792 -1 -1
36 4 1 0.515439 0.335564 0.515439 0.335669 -1 -1
37 4 4 0.74485 2.01865 1.29425 1.83273 -1 -1
38 4 1 1.1915 1.49667 1.1915 1.49667 -1 -1
39 3 2 0.797172 0.17498 0.976981 0.183281 -1 -1
40 4 2 0.29612 3.15465 1.2804 2.88708 -1 -1
41 4 2 0.991145 2.6571 1.34994 2.62766 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
43 4 3 0.241483 3.69629 0.319141 3.67707 -1 -1
44 4 4 0.292267 2.35152 1.499 2.06194 -1 -1
45 3 2 0.0755496 0.529431 0.233246 0.502381 -1 -1
46 3 4 0.102349 2.14692 1.47534 2.4206 -1 -1
47 4 3 0.373401 4.00551 1.44859 3.80248 -1 -1
48 4 2 0.038867 2.4542 0.379525 2.37135 -1 -1
49 4 6 0 3.51353 0.546705 3.66271 -1 -1
50 3 3 0.143265 4.05574 1.0289 3.88276 -1 -1
51 4 2 0.264866 1.80186 1.06398 1.76412 -1 -1
52 4 2 0.983821 3.97591 1.2034 3.96224 -1 -1
53 4 1 0.53669 2.90085 0.53669 2.90284 -1 -1
54 4 2 0.672556 1.22594 1.16541 1.39175 -1 -1
55 4 2 0.152296 0.193359 1.20127 0.345876 -1 -1
56 4 2 0.0465348 1.90063 0.918337 1.78079 -1 -1
57 3 3 0.969494 1.62164 1.10353 1.63957 -1 -1
58 3 3 0.683196 0.282061 1.37665 0.08836 -1 -1
59 4 2 0.236637 4.49358 0.344989 4.47525 -1 -1
60 4 2 0.139372 0.853464 1.39982 1.24548 -1 -1
61 4 3 0.810982 0.47768 0.884243 0.466724 -1 -1
62 4 4 0.0937092 3.84691 0.211605 3.86928 -1 -1
63 4 4 0.486881 1.32723 1.17483 1.1979 -1 -1
64 4 3 0.119575 1.29561 0.914429 1.22852 -1 -1
65 4 1 0.539431 3.89458 0.539431 3.89642 -1 -1
66 4 2 0.420736 2.74514 0.914815 2.66842 -1 -1
67 4 3 0.49459 3.64808 1.36083 3.9293 -1 -1
68 3 3 0.059625 1.81381 0.905195 1.70181 -1 -1
69 4 1 1.45591 0.327609 1.45591 0.327609 -1 -1
70 4 2 0.867191 1.63537 0.946471 1.64608 -1 -1
71 4 2 0.976112 2.59519 1.46838 2.48562 -1 -1
72 3 2 0.0180902 4.20239 0.828243 4.07569 -1 -1
73 4 4 1.22674 3.25719 1.36657 3.2503 -1 -1
74 4 2 0.0798545 3.89231 0.857351 3.84536 -1 -1
75 3 2 0.054283 3.94419 1.41018 3.59556 -1 -1
76 4 1 1.18835 4.63801 1.18835 4.63801 -1 -1
77 4 2 0.543559 1.60424 1.25205 1.3906 -1 -1
78 4 6 0 4.51324 1.32206 4.69718 -1 -1
79 4 2 0.946682 2.6142 1.30474 2.6515 -1 -1
80 4 2 0.30311 4.81026 1.29847 4.58742 -1 -1
81 4 4 0.526587 1.01177 0.744731 0.983247 -1 -1
82 3 4 1.13413 2.36659 1.36977 2.32106 -1 -1
83 3 3 0.0107593 4.46548 1.44284 4.00821 -1 -1
84 4 1 0.601991 3.87165 0.601991 3.87165 -1 -1
85 4 2 0.210828 3.6167 1.06078 3.48564 -1 -1
86 4 4 0.21272 1.81518 1.29024 2.09947 -1 -1
87 4 2 1.00393 3.8974 1.08289 3.88454 -1 -1
88 4 3 0.759946 3.54231 1.13118 3.5379 -1 -1
89 4 2 0.776065 2.05912 1.19774 2.18478 -1 -1
90 3 1 0.973857 2.30656 0.973857 2.30656 -1 -1
91 4 1 0.102927 3.49146 0.102927 3.49308 -1 -1
92 4 2 0.876562 4.6681 1.14875 4.60242 -1 -1
93 4 3 0.879683 3.19497 1.30444 3.18357 -1 -1
94 4 4 0.512001 1.82336 1.499 2.15421 -1 -1
95 4 3 0.719432 4.38378 1.33462 4.35933 -1 -1
96 4 1 0.522626 2.14335 0.522626 2.14335 -1 -1
97 4 2 0.155565 2.19858 0.995119 2.22593 -1 -1
98 4 3 0.279313 2.54164 1.49273 2.62682 -1 -1
99 4 4 0.679757 4.31803 1.34118 4.30033 -1 -1
100 4 2 0.73199 2.80766 1.29045 2.76621 -1 -1
101 4 2 1.03934 1.91714 1.45825 2.05173 -1 -1
102 3 2 0.0197953 2.68151 0.730657 2.80024 -1 -1
103 4 4 0.0498742 4.44378 0.421077 4.36249 -1 -1
104 4 1 1.45595 3.11525 1.45595 3.11525 -1 -1
105 4 6 0 0.840565 0.332077 0.854454 -1 -1
106 4 6 0 2.84945 0.552755 2.71404 -1 -1
107 4 1 1.45576 2.90856 1.45576 2.90856 -1 -1
108 4 3 0.21211 4.48898 0.53017 4.40142 -1 -1
109 4 6 0 3.84543 0.555539 3.94195 -1 -1
110 4 2 0.437239 1.55713 0.742939 1.65173 -1 -1
111 4 4 0.0633853 2.08196 1.29426 2.35131 -1 -1
112 3 4 0.560804 0.959859 0.617645 0.979071 -1 -1
113 4 2 0.378915 4.58607 0.787647 4.6827 -1 -1
114 4 2 1.01364 1.6286 1.41363 1.63104 -1 -1
115 4 2 0.127973 1.66368 1.28796 1.6591 -1 -1
