#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=40
0 4 2 0.613986 0.220396 1.21161 0.167018 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 6 0 0.416362 1.19034 0.620567 -1 -1
4 3 3 0.819559 4.24481 1.42001 4.23517 -1 -1
5 4 3 0.611838 2.79736 1.32875 2.98075 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 1 0.477449 1.48728 0.477449 1.48682 -1 -1
10 4 2 1.07191 3.46436 1.2464 3.42016 -1 -1
11 3 2 0.185043 3.5392 1.20009 3.63956 -1 -1
12 3 7 0.302755 1.52648 1.5 1.11873 -1 -1
13 4 1 1.31688 3.06802 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 2 0.590116 1.36166 0.766753 1.39629 -1 -1
16 4 1 0.427196 4.32922 0.427196 4.32849 -1 -1
17 4 4 0.439209 3.50857 1.11418 3.32307 -1 -1
18 4 2 0.420388 1.20835 1.44276 1.39902 -1 -1
19 3 3 0.152531 0.251343 0.764603 0.0392844 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 3 0.539843 1.33056 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 0.293506 0.650128 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 2 0.740222 3.57912 1.333 3.39742 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 3 0.239992 1.76277 1.40979 1.75301 -1 -1
31 4 2 1.40849 2.73901 1.48401 2.7126 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 3 0.10554 1.27351 1.36068 1.38409 -1 -1
