#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=52
0 4 3 0.4347 0.23641 1.21161 0.167018 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 0.596176 1.3
2 4 4 0.196766 2.12491 0.531361 2.064 0.2 0.531361
3 4 2 0.591361 0.517811 1.19034 0.620567 0.650497 1.19034
4 3 2 0.819559 4.24481 1.32002 4.23677 0.819559 1.28003
5 4 4 0.844351 2.85684 1.32875 2.98075 0.844351 1.3
6 4 4 0.204674 0.406323 1.07084 0.650781 0.536589 1.07084
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 0.883194 0.981596
9 3 2 0.668881 0.804887 1.02875 0.814752 0.668881 0.908791
10 4 2 0.49028 3.6117 1.2464 3.42016 0.606606 1.2464
11 3 3 0.185043 3.5392 1.28107 3.64757 0.2 1.28107
12 3 3 0.302755 1.52648 1.0267 1.27993 0.302755 1.0267
13 4 1 1.31688 3.06802 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 0.217385 1.3
15 4 1 0.856929 3.49649 0.856929 3.49649 -1 -1
16 4 2 0.257129 4.47999 0.561168 4.57979 0.314137 0.318091
17 4 4 0.439209 3.50857 1.11418 3.32307 0.439209 1.11418
18 4 6 0 1.12996 1.44276 1.39902 0.2 1.3
19 3 3 0.152531 0.251343 0.594521 0.0982109 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 0.369666 0.549011
21 4 4 0.201512 2.81537 0.379593 2.84159 0.201512 0.379593
22 4 2 0.4878 4.81824 0.800948 4.75237 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 0.2 0.497424
24 4 2 0.195575 0.629178 1.21271 0.846776 0.215132 1.21271
25 3 4 0.193392 3.71468 0.505112 3.6442 0.2 0.505112
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 2 0.511093 1.25271 0.624575 1.29173 0.567834 0.624575
28 3 3 0.740222 3.57912 1.21317 3.43415 0.740222 1.21317
29 4 2 0.576175 0.288575 1.499 0.395085 -1 -1
30 4 3 0.939967 1.75693 1.40979 1.75301 0.939967 1.3
31 4 1 1.48401 2.7126 1.48401 2.7126 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 0.2 1.3
33 3 4 0.10554 1.27351 1.22122 1.3718 0.2 1.22122
