#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=6
0 4 1 0.567017 3.88273 0.567017 3.88376 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 1 0.933158 1.69009 0.933158 1.69009 -1 -1
4 3 2 0.819559 4.24481 0.859554 4.24417 -1 -1
5 4 1 1.04921 3.48682 1.04921 3.48682 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 2 0.477449 1.48728 0.844647 1.58509 -1 -1
10 4 1 1.07129 1.09475 1.07129 1.09723 -1 -1
11 3 4 0.185043 3.5392 1.00106 3.61988 -1 -1
12 3 2 0.302755 1.52648 1.17363 1.22988 -1 -1
13 4 2 0.0387425 2.73964 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 6 0 1.27702 1.499 1.6005 -1 -1
16 4 1 1.02489 0.73291 1.02489 0.73291 -1 -1
17 4 1 0.353045 3.60575 0.353045 3.60575 -1 -1
18 4 2 0.734964 1.26702 1.44276 1.39902 -1 -1
19 3 2 0.152531 0.251343 0.228122 0.225154 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 6 0 1.7375 0.103099 1.76903 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 1.03669 0.80912 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 1 0.950488 2.38351 0.950488 2.38351 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 2 0.740222 3.57912 0.912319 3.52637 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 2 0.55998 1.7601 1.40979 1.75301 -1 -1
31 4 1 1.26269 0.225257 1.26269 0.225257 -1 -1
32 4 2 0.31984 3.55163 1.44977 3.51589 -1 -1
33 3 3 0.10554 1.27351 0.762993 1.33143 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 6 0 0.112089 1.2091 0.53792 -1 -1
36 4 1 0.472793 4.37502 0.472793 4.37502 -1 -1
37 4 2 0.953242 1.94813 1.29425 1.83273 -1 -1
38 4 1 1.31866 4.34341 1.31866 4.34341 -1 -1
39 3 3 0.268336 2.50693 0.528334 2.50814 -1 -1
40 4 1 0.455877 2.50072 0.455877 2.5025 -1 -1
41 4 4 0.0984824 4.49327 0.252628 4.45038 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
43 4 4 0.280312 3.68668 0.319141 3.67707 -1 -1
44 4 4 0.292267 2.35152 1.499 2.06194 -1 -1
45 3 1 0.494612 3.99817 0.494612 4.00103 -1 -1
46 3 4 0.102349 2.14692 1.2792 2.3815 -1 -1
47 4 2 0.741091 3.93608 1.44859 3.80248 -1 -1
48 4 2 0.224057 2.40916 0.379525 2.37135 -1 -1
49 4 3 0.819214 0.891552 0.877779 0.87851 -1 -1
50 3 2 0.143265 4.05574 0.812982 3.92493 -1 -1
51 4 1 0.0910961 0.816236 0.0910961 0.81485 -1 -1
52 4 6 0 1.82945 0.554755 1.74383 -1 -1
53 4 6 0 3.02876 0.53669 2.90284 -1 -1
54 4 1 0.571226 3.39601 0.571226 3.39659 -1 -1
55 4 2 0.310631 0.216381 1.20127 0.345876 -1 -1
56 4 2 0.621131 1.82165 0.918337 1.78079 -1 -1
57 3 2 0.969494 1.62164 1.04879 1.63225 -1 -1
58 3 2 0.683196 0.282061 0.93361 0.212113 -1 -1
59 4 3 0.415267 0.186782 0.471836 0.20678 -1 -1
60 4 2 1.05606 1.13857 1.39982 1.24548 -1 -1
61 4 3 0.0989002 0.58417 0.884243 0.466724 -1 -1
62 4 4 0.0937092 3.84691 0.211605 3.86928 -1 -1
63 4 4 0.486881 1.32723 1.17483 1.1979 -1 -1
64 4 4 0.336484 1.2773 0.914429 1.22852 -1 -1
65 4 2 0.0620859 3.94683 0.539431 3.89642 -1 -1
66 4 1 1.11817 3.40998 1.11817 3.40789 -1 -1
67 4 3 0.133159 3.53075 1.36083 3.9293 -1 -1
68 3 2 0.059625 1.81381 1.10346 1.67555 -1 -1
69 4 1 1.45591 0.327609 1.45591 0.327609 -1 -1
70 4 2 0.123634 4.36821 0.511163 4.26911 -1 -1
71 4 3 0.585667 2.6821 1.46838 2.48562 -1 -1
72 3 4 0.0180902 4.20239 0.274968 4.16222 -1 -1
73 4 6 0 3.15925 0.889753 3.34555 -1 -1
74 4 3 0.2196 3.88387 0.857351 3.84536 -1 -1
75 3 2 0.054283 3.94419 0.441682 3.84458 -1 -1
76 4 2 1.12836 4.63707 1.18835 4.63801 -1 -1
77 4 4 1.11801 1.43102 1.25205 1.3906 -1 -1
78 4 2 1.04474 4.65859 1.32206 4.69718 -1 -1
79 4 3 0.835501 4.32946 1.00145 4.36994 -1 -1
80 4 2 1.04475 4.64422 1.29847 4.58742 -1 -1
81 4 4 0.526587 1.01177 0.744731 0.983247 -1 -1
82 3 4 1.13413 2.36659 1.36977 2.32106 -1 -1
83 3 2 0.0107593 4.46548 1.25232 4.06904 -1 -1
84 4 1 0.117435 2.55802 0.117435 2.55796 -1 -1
85 4 3 0.321289 3.58473 0.380871 3.5918 -1 -1
86 4 4 0.21272 1.81518 1.29024 2.09947 -1 -1
87 4 1 0.813113 2.69243 0.813113 2.69243 -1 -1
88 4 2 0.219985 3.54871 1.13118 3.5379 -1 -1
89 4 3 0.179641 1.31522 0.250233 1.31968 -1 -1
90 3 1 0.380297 0.49238 0.380297 0.491294 -1 -1
91 4 1 0.257217 4.14216 0.257217 4.14577 -1 -1
92 4 1 0.509108 4.72582 0.509108 4.72582 -1 -1
93 4 2 0.659762 3.20087 1.30444 3.18357 -1 -1
94 4 4 0.512001 1.82336 1.499 2.15421 -1 -1
95 4 3 0.779384 4.3814 1.33462 4.35933 -1 -1
96 4 1 1.0557 2.38824 1.0557 2.38837 -1 -1
97 4 3 0.0587439 3.69906 0.56885 3.80511 -1 -1
98 4 2 0.395433 2.54979 1.49273 2.62682 -1 -1
99 4 4 0.679757 4.31803 1.34118 4.30033 -1 -1
100 4 1 0.863221 0.211548 0.863221 0.211548 -1 -1
101 4 1 1.0204 3.22202 1.0204 3.22043 -1 -1
102 3 3 0.0197953 2.68151 1.02656 2.84966 -1 -1
103 4 4 0.0498742 4.44378 0.421077 4.36249 -1 -1
104 4 1 1.04065 4.67973 1.04065 4.67973 -1 -1
105 4 1 1.1884 4.41189 1.1884 4.41189 -1 -1
106 4 3 0.310809 2.77331 0.552755 2.71404 -1 -1
107 4 2 0.0677876 2.3438 0.105954 2.33183 -1 -1
108 4 2 0.163241 2.07647 0.281863 2.09459 -1 -1
109 4 1 0.810833 0.498386 0.810833 0.498411 -1 -1
110 4 2 0.267404 0.207544 0.616002 0.0992942 -1 -1
111 4 4 0.0633853 2.08196 1.29426 2.35131 -1 -1
112 3 4 0.560804 0.959859 0.617645 0.979071 -1 -1
113 4 3 0.656824 0.278388 0.756821 0.279202 -1 -1
114 4 1 0.191919 2.16525 0.191919 2.16451 -1 -1
115 4 2 1.14796 1.65965 1.28796 1.6591 -1 -1
